2026-04-28 14:05:07,323 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=7300 signal_id=sig_1c0250ab80 detail=EURUSD H1 BUY
2026-04-28 14:10:00,004 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:10:00.004739+00:00
2026-04-28 14:10:06,563 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=6545 signal_id=sig_f35ccd5af5 detail=EURUSD H1 BUY
2026-04-28 14:15:00,004 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:15:00.004436+00:00
2026-04-28 14:15:00,139 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:15:00.139901+00:00
2026-04-28 14:15:11,590 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=6159 signal_id=- detail=Predicted move magnitude 3.3 pips below minimum 15.0
2026-04-28 14:15:12,521 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=12495 signal_id=sig_4d15ee827c detail=EURUSD H1 BUY
2026-04-28 14:20:00,006 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:20:00.005992+00:00
2026-04-28 14:20:05,975 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=5952 signal_id=- detail=Predicted move magnitude 2.1 pips below minimum 5.0
2026-04-28 14:25:00,004 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:25:00.004743+00:00
2026-04-28 14:25:07,321 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=7280 signal_id=sig_36e1f409b9 detail=EURUSD H1 BUY
2026-04-28 14:30:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:30:00.002543+00:00
2026-04-28 14:30:00,184 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:30:00.184015+00:00
2026-04-28 14:30:12,007 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6404 signal_id=- detail=Predicted move magnitude 2.8 pips below minimum 5.0
